Task name,Tags,Time Estimate,Start date,Due date,Dependencies,Description,Comments,Custom Field [text] [WBS],Custom Field [drop_down] [Contractor]
Αρνητικές γνωμοδοτήσεις → πρόσθετες εξειδικευμένες έρευνες/επικαιροποίηση (Natura/ρέματα/αρχ.),PV; Permitting; WorstCase; Phase-Consultations; Opinions; NegativeOpinions,320h,2027-12-31,2028-05-06,"Παράθυρο γνωμοδοτήσεων κλείνει (log προθεσμιών, συλλογή) – milestone; Δασικό: Πράξη χαρακτηρισμού/γνωμοδότηση + (worst-case) διορθώσεις/αντιρρήσεις; Αρχαιολογία: Σωστικές δοκιμές/τομές + report/ολοκλήρωση (worst-case); Ρέματα: Διορθώσεις/συμπληρώσεις + τελική έγκριση οριοθέτησης; Natura: Ειδική Οικολογική Αξιολόγηση/Δέουσα Εκτίμηση (τελική) + μέτρα","Μετά από αρνητικές γνώμες/παρατηρήσεις: πρόσθετες έρευνες & επικαιροποίηση τεκμηρίωσης. • Deliverables: addenda (Natura, ρέματα, αρχαιολογία), redesign/mitigation pack, ενημέρωση GIS.
WBS: 4.5
Dependencies (Task Name): Διαβίβαση σε φορείς + δημόσια διαβούλευση (extended) & συλλογή γνωμοδοτήσεων; Δασικός έλεγχος/χαρτογράφηση + πράξη χαρακτηρισμού/γνωμοδότηση (worst case); Αρχαιολογία: προκαταρκτική γνωμοδότηση + σωστικές δοκιμές/τομές (worst case); Μελέτη οριοθέτησης ρέματος & υδραυλική + υποβολή/έγκριση (Ν.4258/2014) – worst case; Natura: Ειδική Οικολογική Αξιολόγηση/Δέουσα Εκτίμηση (τελική) + μέτρα
Estimated Time: 40d effort + 50d wait = 90d total",,4.5,
Grid: προ-αίτημα/τεχνική συνάντηση με ΑΔΜΗΕ + προκαταρκτικός έλεγχος,PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,80h,2026-04-06,2026-05-15,Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept,"Grid: προκαταρκτικός έλεγχος/συνάντηση με ΑΔΜΗΕ (επιλογή σημείου/επιπέδου τάσης). • Outputs: τεχνικό σημείωμα εναλλακτικών σύνδεσης, προκαταρκτικά όρια έργων διασύνδεσης.
WBS: 5.1
Dependencies (Task Name): Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept
Estimated Time: 10d effort + 20d wait = 30d total",,5.1,
Grid: φάκελος αίτησης ΟΠΣ (ΑΔΜΗΕ) – τεχνικά/νομικά/γεωχωρικά,PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,200h,2026-12-07,2027-01-15,Grid: προ-αίτημα/τεχνική συνάντηση με ΑΔΜΗΕ + προκαταρκτικός έλεγχος; Νέα τοπογραφικά (GNSS – οριοθέτηση πολυγώνου – όρια ιδιοκτησιών),"Grid: σύνταξη φακέλου αίτησης ΟΠΣ (ΑΔΜΗΕ). • Docs/Plans: έντυπο αίτησης, τεχνική περιγραφή, SLD, layout, όδευση γραμμής/Υ/Σ, τοπογραφικά, τίτλοι/δικαιώματα, Βεβαίωση Παραγωγού, οικονομικά στοιχεία/εγγυήσεις.
WBS: 5.2
Dependencies (Task Name): Αποδοχή ΟΠΣ στον Διαχειριστή (υπογραφή/εγγυήσεις/παράβολα); Νέα τοπογραφικά (GNSS – οριοθέτηση πολυγώνου – όρια ιδιοκτησιών); Έκδοση Βεβαίωσης Παραγωγού (τελική)
Estimated Time: 25d effort + 5d wait = 30d total",,5.2,
Υποβολή αίτησης ΟΠΣ στον ΑΔΜΗΕ,PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,8h,2027-01-18,2027-01-18,Grid: φάκελος αίτησης ΟΠΣ (ΑΔΜΗΕ) – τεχνικά/νομικά/γεωχωρικά; Έκδοση Βεβαίωσης Παραγωγού (τελική),"Υποβολή αίτησης ΟΠΣ στον ΑΔΜΗΕ. • Output: αριθμός πρωτοκόλλου/θέση σε ουρά.
WBS: 5.3
Dependencies (Task Name): Grid: φάκελος αίτησης ΟΠΣ (ΑΔΜΗΕ) – τεχνικά/νομικά/γεωχωρικά
Estimated Time: 1d effort + 0d wait = 1d total",,5.3,
ΑΔΜΗΕ έλεγχος πληρότητας (1ος) – ερωτήματα,PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,16h,2027-01-19,2027-03-01,Υποβολή αίτησης ΟΠΣ στον ΑΔΜΗΕ,"ΑΔΜΗΕ έλεγχος πληρότητας (1ος). • Outputs: ερωτήματα/αιτήματα διόρθωσης.
WBS: 5.4
Dependencies (Task Name): Υποβολή αίτησης ΟΠΣ στον ΑΔΜΗΕ
Estimated Time: 2d effort + 28d wait = 30d total",,5.4,
Απαντήσεις/συμπλήρωση φακέλου ΟΠΣ (rev.1),PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,120h,2027-03-02,2027-03-29,ΑΔΜΗΕ έλεγχος πληρότητας (1ος) – ερωτήματα,"Απαντήσεις/συμπλήρωση φακέλου (rev.1). • Deliverables: διορθωμένα σχέδια/SLD, πρόσθετα δικαιολογητικά, επικαιροποίηση ισχύος/όδευσης.
WBS: 5.5
Dependencies (Task Name): ΑΔΜΗΕ έλεγχος πληρότητας (1ος) – ερωτήματα
Estimated Time: 15d effort + 5d wait = 20d total",,5.5,
ΑΔΜΗΕ έλεγχος πληρότητας (2ος) – Λήψη πληρότητας αιτήματος,PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS; Completeness,16h,2027-03-30,2027-04-26,Απαντήσεις/συμπλήρωση φακέλου ΟΠΣ (rev.1),"ΑΔΜΗΕ έλεγχος πληρότητας (2ος) & «Λήψη πληρότητας αιτήματος» (milestone). • Output: επίσημη αποδοχή φακέλου.
WBS: 5.6
Dependencies (Task Name): Απαντήσεις/συμπλήρωση φακέλου ΟΠΣ (rev.1)
Estimated Time: 2d effort + 18d wait = 20d total",,5.6,
SUMMARY | 5.7 ΑΔΜΗΕ (μελέτες/όροι ΟΠΣ),PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS; Summary,,2029-02-22,2029-10-31,,"Summary task (ομαδοποίηση). Μην το χρησιμοποιείς για εκτέλεση — χρησιμεύει για καθαρό WBS/Gantt.
Covers: 5.7.1 → 5.7.2
Estimated Time: 0d effort + 0d wait = 0d total",,5.7,
ΑΔΜΗΕ: Queue management & επίσημα αιτήματα/αλληλογραφία (worst-case),PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,80h,2029-02-22,2029-06-14,ΑΔΜΗΕ έλεγχος πληρότητας (2ος) – Λήψη πληρότητας αιτήματος; Έκδοση ΑΕΠΟ (Α1) – τελική απόφαση με όρους,"Διαχείριση ουράς & επίσημων αιτημάτων/επιστολών, προτεραιοποίηση, SLA follow-up.
Estimated Time: 10d effort + 80d wait = 90d total",,5.7.1,
ΑΔΜΗΕ: Τεχνικές διευκρινίσεις/iterations έως τελικούς όρους ΟΠΣ,PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,80h,2029-06-15,2029-10-31,ΑΔΜΗΕ: Queue management & επίσημα αιτήματα/αλληλογραφία (worst-case),"Τεχνικές διευκρινίσεις/iterations (SLD, όδευση, έργα δικτύου) έως κλείδωμα τελικών όρων.
Estimated Time: 10d effort + 80d wait = 90d total",,5.7.2,
Έκδοση Οριστικής Προσφοράς Σύνδεσης (ΟΠΣ),PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,,2029-11-01,2029-11-01,ΑΔΜΗΕ: Τεχνικές διευκρινίσεις/iterations έως τελικούς όρους ΟΠΣ,"Έκδοση ΟΠΣ. • Outputs: Οριστική Προσφορά Σύνδεσης, τεχνικο-οικονομικοί όροι, προθεσμίες/εγγυήσεις.
WBS: 5.8
Dependencies (Task Name): ΑΔΜΗΕ μελέτες συστήματος/χωρητικότητα/όροι (queue worst-case)
Estimated Time: 0d effort + 1d wait = 1d total",,5.8,
Εσωτερική αξιολόγηση ρίσκου/όρων ΟΠΣ + απόφαση αποδοχής (αναμονή για ΑΕΠΟ),PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,120h,2029-11-04,2030-01-24,Έκδοση Οριστικής Προσφοράς Σύνδεσης (ΟΠΣ); Έκδοση ΑΕΠΟ (Α1) – τελική απόφαση με όρους,"Εσωτερική αξιολόγηση ΟΠΣ + αναμονή ολοκλήρωσης ΑΕΠΟ πριν την αποδοχή (commercial de-risking). • Outputs: memo αποδοχής/μη, εγκρίσεις ΔΣ, προετοιμασία εγγυητικών/πληρωμών.
WBS: 5.9
Dependencies (Task Name): Έκδοση Οριστικής Προσφοράς Σύνδεσης (ΟΠΣ); Έκδοση ΑΕΠΟ (Α1) – τελική απόφαση με όρους
Estimated Time: 15d effort + 45d wait = 60d total",,5.9,
Αποδοχή ΟΠΣ στον Διαχειριστή (υπογραφή/εγγυήσεις/παράβολα),PV; Permitting; WorstCase; Phase-Grid; ADMIE; OPS,24h,2030-01-25,2030-01-31,Εσωτερική αξιολόγηση ρίσκου/όρων ΟΠΣ + απόφαση αποδοχής (αναμονή για ΑΕΠΟ),"Αποδοχή ΟΠΣ. • Docs: επιστολή αποδοχής, υπογραφή συμβατικών, κατάθεση εγγυητικών/παραβόλων (όπου απαιτείται), ενημέρωση project baseline.
WBS: 5.1
Dependencies (Task Name): Εσωτερική αξιολόγηση ρίσκου/όρων ΟΠΣ + απόφαση αποδοχής (αναμονή για ΑΕΠΟ)
Estimated Time: 3d effort + 2d wait = 5d total",,5.10,
