Task Name,WBS,Dependencies,Description
T32,04_ΚΑΤΑΣΤΑΤΙΚΟ ΣΥΣΤΑΣΗΣ,T48,"Workstream: ADMIE Packet
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά για φάκελο ΑΔΜΗΕ):
1) Έκδοση/συλλογή εγγράφου σε ισχύ (πρόσφατο).
2) Έλεγχος συνέπειας στοιχείων σε όλα τα έγγραφα (επωνυμία, εκπροσώπηση).
3) PDF, σαφής ονομασία αρχείου, έλεγχος αναγνωσιμότητας.
Παραδοτέο: έγγραφο έτοιμο για υποβολή χωρίς διορθώσεις.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «ADMIE Packet» όταν τα predecessors το επιτρέπουν."
T33,10_ΧΑΡΤΗΣ ΓΥΣ,T22,"Workstream: Land & Site
Practical predecessors: T22 (Εύρεση γης)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) Είσοδος στο γήπεδο για αποτύπωση (με συναίνεση/προσύμφωνο όπου χρειάζεται).
2) Αποτύπωση EGSA’87 + όρια + συντεταγμένες + στοιχεία για διάγραμμα κάλυψης.
3) Παραγωγή χαρτών/κλιμάκων που ζητούνται στο φάκελο ΑΔΜΗΕ.
Παραδοτέο: υπογεγραμμένο τοπογραφικό/χάρτες.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T34,13_ΕΓΚΡΙΤΙΚΗ ΕΠΙΣΤΟΛΗ ΒΙΠΕ,T42,"Workstream: Land & Site
Practical predecessors: T42 (Βεβαίωση συμβατότητας από την ΕΤΒΑ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T35,12_ΗΛΕΚΤΡΙΚΟ_ΜΟΝΟΓΡΑΜΜΙΚΟ_ΔΙΑΓΡΑΜΜΑ,T45,"Workstream: Grid / ADMIE
Practical predecessors: T45 (Τεχνική Περιγραφή του Υ/Σ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Σκοπός: τεχνική τεκμηρίωση προς ΑΔΜΗΕ (συνέπεια ισχύος/φορτίων με BoD).
Διαδικασία (πρακτικά):
1) Καθορισμός ισχύος/τάσης, διατάξεων MV/LV, προστασιών, γειώσεων, interface προς Σύστημα Μεταφοράς.
2) Έλεγχος συνέπειας με τοπογραφικό/χωροθέτηση Υ/Σ και μετρήσεις εδάφους.
Παραδοτέο: υπογεγραμμένα τεύχη + μονογραμμικό σε μορφή που αποδέχεται ο ΑΔΜΗΕ.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T36,Υποβολή μετρήσεων ειδικής αντίστασης εδάφους στον ΑΔΜΗΕ. H έκταση πρέπει να εξασφαλιστεί με προσύμφωνο μίσθωσης και option αγοράς του όταν λάβουμε όρους σύνδεσης,"T31, T22","Workstream: Grid / ADMIE
Practical predecessors: T31 (Κατάθεση αίτησης) · T22 (Εύρεση γης)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T37,Πληρότητα Φακέλου,T31,"Workstream: Grid / ADMIE
Practical predecessors: T31 (Κατάθεση αίτησης)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T38,07_ΠΙΣΤΟΠΟΙΗΤΙΚΟ ΕΚΠΡΟΣΩΠΗΣΗΣ,T48,"Workstream: ADMIE Packet
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά για φάκελο ΑΔΜΗΕ):
1) Έκδοση/συλλογή εγγράφου σε ισχύ (πρόσφατο).
2) Έλεγχος συνέπειας στοιχείων σε όλα τα έγγραφα (επωνυμία, εκπροσώπηση).
3) PDF, σαφής ονομασία αρχείου, έλεγχος αναγνωσιμότητας.
Παραδοτέο: έγγραφο έτοιμο για υποβολή χωρίς διορθώσεις.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «ADMIE Packet» όταν τα predecessors το επιτρέπουν."
T39,09_1:50.000,T33,"Workstream: Land & Site
Practical predecessors: T33 (10_ΧΑΡΤΗΣ ΓΥΣ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) Είσοδος στο γήπεδο για αποτύπωση (με συναίνεση/προσύμφωνο όπου χρειάζεται).
2) Αποτύπωση EGSA’87 + όρια + συντεταγμένες + στοιχεία για διάγραμμα κάλυψης.
3) Παραγωγή χαρτών/κλιμάκων που ζητούνται στο φάκελο ΑΔΜΗΕ.
Παραδοτέο: υπογεγραμμένο τοπογραφικό/χάρτες.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T40,08_ΤΟΠΟΓΡΑΦΙΚΟ,T12,"Workstream: Land & Site
Practical predecessors: T12 (Τοπογραφικό)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) Είσοδος στο γήπεδο για αποτύπωση (με συναίνεση/προσύμφωνο όπου χρειάζεται).
2) Αποτύπωση EGSA’87 + όρια + συντεταγμένες + στοιχεία για διάγραμμα κάλυψης.
3) Παραγωγή χαρτών/κλιμάκων που ζητούνται στο φάκελο ΑΔΜΗΕ.
Παραδοτέο: υπογεγραμμένο τοπογραφικό/χάρτες.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T41,Έγκριση καταλληλότητας από ΑΔΜΗΕ,T36,"Workstream: Grid / ADMIE
Practical predecessors: T36 (Υποβολή μετρήσεων ειδικής αντίστασης εδάφους στον ΑΔΜΗΕ. H έκταση πρέπει να εξασφαλιστεί με προσύμφωνο μίσθωσης και option αγοράς του όταν λάβουμε όρους σύνδεσης)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T42,Βεβαίωση συμβατότητας από την ΕΤΒΑ,T22,"Workstream: Land & Site
Practical predecessors: T22 (Εύρεση γης)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T43,Τοπογραφικό Διάγραμμα οικοπέδου,T12,"Workstream: Land & Site
Practical predecessors: T12 (Τοπογραφικό)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) Είσοδος στο γήπεδο για αποτύπωση (με συναίνεση/προσύμφωνο όπου χρειάζεται).
2) Αποτύπωση EGSA’87 + όρια + συντεταγμένες + στοιχεία για διάγραμμα κάλυψης.
3) Παραγωγή χαρτών/κλιμάκων που ζητούνται στο φάκελο ΑΔΜΗΕ.
Παραδοτέο: υπογεγραμμένο τοπογραφικό/χάρτες.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T44,Γνωμοδότηση από την Εφορεία Αρχαιοτήτων,T12,"Workstream: Environmental & Permitting
Practical predecessors: T12 (Τοπογραφικό)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Νομοθεσία: Ν.4858/2021 (ΦΕΚ Α’ 220/19.11.2021) – προστασία αρχαιοτήτων/πολιτιστικής κληρονομιάς.
Διαδικασία (πρακτικά):
1) Υποβολή αιτήματος με τοπογραφικό, περιγραφή έργου, σχέδια και φωτογραφίες.
2) Παρακολούθηση όρων (π.χ. αρχαιολογική παρακολούθηση εκσκαφών) και ενσωμάτωση σε εργολαβίες/άδειες.
Παραδοτέο: έγγραφη γνωμοδότηση/όροι.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Environmental & Permitting» όταν τα predecessors το επιτρέπουν."
T45,Τεχνική Περιγραφή του Υ/Σ,"T08, T16","Workstream: Grid / ADMIE
Practical predecessors: T08 (Επιλογή έκτασης για κατασκευή  του Υ/Σ) · T16 (Power Availability Assessment)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Σκοπός: τεχνική τεκμηρίωση προς ΑΔΜΗΕ (συνέπεια ισχύος/φορτίων με BoD).
Διαδικασία (πρακτικά):
1) Καθορισμός ισχύος/τάσης, διατάξεων MV/LV, προστασιών, γειώσεων, interface προς Σύστημα Μεταφοράς.
2) Έλεγχος συνέπειας με τοπογραφικό/χωροθέτηση Υ/Σ και μετρήσεις εδάφους.
Παραδοτέο: υπογεγραμμένα τεύχη + μονογραμμικό σε μορφή που αποδέχεται ο ΑΔΜΗΕ.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T46,Διάγραμμα κάλυψης της εγκατάστασης,T06,"Workstream: Other
Practical predecessors: T06 (Διάγραμμα κάλυψης)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Other» όταν τα predecessors το επιτρέπουν."
T47,Διασυνδετική Γραμμή,,"Workstream: Other
Practical predecessors: —
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Other» όταν τα predecessors το επιτρέπουν."
T48,KICK OFF,,"Workstream: Program
Practical predecessors: —
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Program» όταν τα predecessors το επιτρέπουν."
T49,FEASIBILITY STUDY,T18,"Workstream: Feasibility
Practical predecessors: T18 (Final Feasibility Report)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Feasibility» όταν τα predecessors το επιτρέπουν."
T50,LAND,T48,"Workstream: Land & Site
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Land & Site» όταν τα predecessors το επιτρέπουν."
T51,BUSINESS PLAN,T48,"Workstream: Feasibility
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Feasibility» όταν τα predecessors το επιτρέπουν."
T52,MASTER PLAN,T25,"Workstream: Design
Practical predecessors: T25 (Final Master Plan Package)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) BoD: IT load, redundancy, αρχιτεκτονική ηλεκτρικής τροφοδοσίας/ψύξης/πυροπροστασίας.
2) Block diagrams: power train + interfaces, ώστε να στηριχθεί η τεχνική περιγραφή & μονογραμμικό προς ΑΔΜΗΕ.
3) Floor plans: χώροι Υ/Σ/ΗΜ, διαδρομές, μελλοντική επεκτασιμότητα.
Παραδοτέο: package για άδειες + tendering.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Design» όταν τα predecessors το επιτρέπουν."
T53,Οριστική Προσφορά Σύνδεσης (ΟΠΣ),T03,"Workstream: Grid / ADMIE
Practical predecessors: T03 (Εκπόνηση μελέτης από ΑΔΜΗΕ για την διάταξη του Υ/Σ και τα έργα σύνδεσης με το Δίκτυο ΥΤ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T54,Αίτηση Σύναψης Σύμβασης Σύνδεσης,T21,"Workstream: Grid / ADMIE
Practical predecessors: T21 (Αποδοχή όρων σύνδεσης)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T55,Απόφαση Έγκρισης Περιβαλλοντικών Όρων (ΠΠΔ) Υ/Σ,"T01, T45","Workstream: Environmental & Permitting
Practical predecessors: T01 (Περιβαλλοντική Μελέτη) · T45 (Τεχνική Περιγραφή του Υ/Σ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Νομοθεσία: Ν.4014/2011 (άρθρο 8 – ΠΠΔ) · ΥΑ ΥΠΕΝ/ΔΙΠΑ/82255/5190/2025 (ΦΕΚ Β’ 4095/29.07.2025) – ΠΠΔ για Κέντρα Δεδομένων.
Διαδικασία (πρακτικά):
1) Επιβεβαίωση υπαγωγής σε ΠΠΔ (Κατηγορία Β) και ότι δεν απαιτείται ΜΠΕ/ΑΕΠΟ.
2) Συλλογή στοιχείων: θέση/όρια, ισχύς/φορτία, Η/Μ εξοπλισμός, εφεδρικές Η/Π, θόρυβος, ύδατα, απόβλητα, κυκλοφορία.
3) Έλεγχος ειδικών καθεστώτων (π.χ. προστατευόμενες περιοχές/δεσμεύσεις) και ενσωμάτωση απαιτήσεων.
4) Υποβολή φακέλου & παρακολούθηση αιτημάτων συμπλήρωσης μέχρι την πράξη υπαγωγής.
Παραδοτέο: πράξη υπαγωγής + λίστα δεσμεύσεων (SECs) για compliance tracking.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Environmental & Permitting» όταν τα predecessors το επιτρέπουν."
T56,Απόφαση Έγκρισης Περιβαλλοντικών Όρων (ΠΠΔ),T09,"Workstream: Environmental & Permitting
Practical predecessors: T09 (Έγκριση ΠΠΔ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Νομοθεσία: Ν.4014/2011 (άρθρο 8 – ΠΠΔ) · ΥΑ ΥΠΕΝ/ΔΙΠΑ/82255/5190/2025 (ΦΕΚ Β’ 4095/29.07.2025) – ΠΠΔ για Κέντρα Δεδομένων.
Διαδικασία (πρακτικά):
1) Επιβεβαίωση υπαγωγής σε ΠΠΔ (Κατηγορία Β) και ότι δεν απαιτείται ΜΠΕ/ΑΕΠΟ.
2) Συλλογή στοιχείων: θέση/όρια, ισχύς/φορτία, Η/Μ εξοπλισμός, εφεδρικές Η/Π, θόρυβος, ύδατα, απόβλητα, κυκλοφορία.
3) Έλεγχος ειδικών καθεστώτων (π.χ. προστατευόμενες περιοχές/δεσμεύσεις) και ενσωμάτωση απαιτήσεων.
4) Υποβολή φακέλου & παρακολούθηση αιτημάτων συμπλήρωσης μέχρι την πράξη υπαγωγής.
Παραδοτέο: πράξη υπαγωγής + λίστα δεσμεύσεων (SECs) για compliance tracking.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Environmental & Permitting» όταν τα predecessors το επιτρέπουν."
T57,Πιστοποιητικό Πυρασφάλειας - Ιωάννινα,T58,"Workstream: Construction & Operation
Practical predecessors: T58 (Άδεια Εγκατάστασης Η/Μ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Νομοθεσία: Απόφαση Αρχηγού ΠΣ 69019 οικ. Φ.700.13/18-11-2021 (ΦΕΚ Β’ 5519/29.11.2021) – Πυροσβεστική Διάταξη 13/2021.
Διαδικασία (πρακτικά):
1) Μελέτη ενεργητικής/παθητικής πυροπροστασίας (βάσει χρήσης & κατηγορίας εγκατάστασης).
2) Υλοποίηση μέτρων/μέσων (ανίχνευση/κατάσβεση, πυροδιαμερισματοποίηση, έξοδοι διαφυγής/σήμανση).
3) Υποβολή δικαιολογητικών → αυτοψία/έλεγχος → έκδοση πιστοποιητικού.
Παραδοτέο: πιστοποιητικό/διοικητική πράξη + φάκελος συντήρησης.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Construction & Operation» όταν τα predecessors το επιτρέπουν."
T58,Άδεια Εγκατάστασης Η/Μ,T59,"Workstream: Construction & Operation
Practical predecessors: T59 (Οικοδομική Άδεια)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά):
1) Οριστικοποίηση μελετών Η/Μ (MV/LV, UPS, gensets, ψύξη, BMS).
2) Έλεγχος ειδικών απαιτήσεων ανά εξοπλισμό (π.χ. καύσιμα/δεξαμενές/πιέσεις).
3) Υποβολές/εγκρίσεις σε αρμόδιες υπηρεσίες όπου απαιτείται από τον εξοπλισμό και τη χρήση.
Παραδοτέο: απαιτούμενες εγκρίσεις/άδειες/βεβαιώσεις πριν την εγκατάσταση.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Construction & Operation» όταν τα predecessors το επιτρέπουν."
T59,Οικοδομική Άδεια,"T25, T43, T46, T07, T56, T44, T11","Workstream: Construction & Operation
Practical predecessors: T25 (Final Master Plan Package) · T43 (Τοπογραφικό Διάγραμμα οικοπέδου) · T46 (Διάγραμμα κάλυψης της εγκατάστασης) · T07 (Τεχνική έκθεση του έργου) · T56 (Απόφαση Έγκρισης Περιβαλλοντικών Όρων (ΠΠΔ)) · T44 (Γνωμοδότηση από την Εφορεία Αρχαιοτήτων) · T11 (Γνωμοδότηση από την Υπηρεσία Νεωτέρων Μνημείων)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Νομοθεσία: Ν.4495/2017 (άδεια δόμησης/e-Άδειες) · Ν.4067/2012 (ΝΟΚ).
Διαδικασία (πρακτικά μέσω e-Άδειες):
1) Οριστικοποίηση τοπογραφικού/διαγράμματος κάλυψης και σχεδίων (Αρχ/Στατ/ΗΜ) όπου απαιτείται.
2) Συλλογή εγκρίσεων που ζητούνται (ΒΙΠΕ/αρχαιολογία/περιβάλλον ανά περίπτωση).
3) Υποβολή → έλεγχος πληρότητας → συμπληρώσεις → έκδοση άδειας.
Παραδοτέο: αριθμός άδειας + εγκεκριμένα σχέδια/όροι.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Construction & Operation» όταν τα predecessors το επιτρέπουν."
T60,Τελική νομιμοποίηση λειτουργίας Data Center μέσω ηλεκτρονικής γνωστοποίησης,"T57, T58, T56","Workstream: Other
Practical predecessors: T57 (Πιστοποιητικό Πυρασφάλειας - Ιωάννινα) · T58 (Άδεια Εγκατάστασης Η/Μ) · T56 (Απόφαση Έγκρισης Περιβαλλοντικών Όρων (ΠΠΔ))
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Νομοθεσία: Ν.4442/2016 (άρθρο 321 – Κέντρα Δεδομένων) · ΥΑ 96038/2024 (ΦΕΚ Β’ 7589/31.12.2024) – γνωστοποίηση λειτουργίας.
Διαδικασία (πρακτικά):
1) Συγκρότηση φακέλου συμμόρφωσης που τηρείται στο χώρο (άδειες/σχέδια/βεβαιώσεις).
2) Έλεγχος προαπαιτούμενων: νομιμότητα κτιρίου/χρήση γης, πυροπροστασία, ηλεκτρικές εγκαταστάσεις (ΥΔΕ), περιβαλλοντικές δεσμεύσεις (ΠΠΔ) όπου εφαρμόζει.
3) Υποβολή γνωστοποίησης στο πληροφοριακό σύστημα + αποθήκευση αποδεικτικού.
Παραδοτέο: αποδεικτικό γνωστοποίησης + πλήρης compliance folder για ελέγχους.
Νομοθεσία (ηλεκτρικές εγκαταστάσεις): ΥΑ 101195/17.09.2021 (ΦΕΚ Β’ 4654/08.10.2021) – απαιτήσεις/έλεγχοι ηλεκτρικών εγκαταστάσεων (ΥΔΕ) · τροπ. ΥΑ 129600/2021 (ΦΕΚ Β’ 5635/02.12.2021).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Other» όταν τα predecessors το επιτρέπουν."
